Mixture,Naïve B-cells,Memory B-cells,Plasma cells,CD8 T-cells,Naïve CD4 T-cells,Resting mem. CD4 T,Activated mem. CD4 T,Follicular helper T,Tregs,γδ T-cells,Resting NK,Activated NK,Monocytes,M0 macrophages,M1 macrophages,M2 macrophages,Resting DCs,Activated DCs,Resting mast,Activated mast,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
sample01,0.004335174,0.075723614,0.017905092,0.067848231,0.479895567,0,0.642111148,0,0,0.158360372,0.063679115,0,0.22994295,0.000645795,0,0.050336803,0.003130929,0.127302055,0.030372377,0,0,0.159549078,0,0.747108665,0.705693576,2.111138301
sample02,0,0.052803225,0.079889499,0.090271872,0.228980946,0,0.726968717,0,0,0.133285324,0.028873017,0.006469418,0.546926215,0.168341763,0,0,0,0.103293873,0.129613594,0,0,0.17634337,0,0.763476974,0.746782348,2.472060832
sample03,0,0.037578424,0.036561081,0.202325655,0.209491266,0,0.730527523,0,0,0.025667358,0.053166738,0.050574362,0.464973462,0.264832821,0,0,0,0.077558769,0.339868742,0,0,0.115712715,0,0.771059362,0.742247015,2.608838917
sample04,0,0.081487214,0.123955706,0.13179669,0.272831975,0,0.695591162,0,0,0.164936166,0,0.143881168,0.227790377,0.126932443,0,0,0,0.029946395,0.447856235,0,0,0.104981987,0,0.758326486,0.72970079,2.551987517
sample05,0,0.0856571,0.030641272,0.085511072,0.307195284,0,0.586264876,0,0,0.101227961,0.075950565,0,0.214723039,0,0,0.125611396,0.006123488,0.04446437,0.004831844,0.036038169,0,0.555995161,0,0.803544415,0.693703965,2.260235599
sample06,0,0.052449766,0.042677516,0,0.224881499,0,0.486146877,0,0,0.079600009,0.045425558,0,0.509584439,0.026657632,0,0,0,0.094789534,0.062536989,0.012446068,0,0.491970707,0,0.76016294,0.749878629,2.129166596
sample07,2.83E-05,0.011714028,0.025100569,0,0.106916968,0.026556679,0.320911366,0,0,0.027584153,0,0.081944874,0.288480426,0.191440739,0.018903568,0.142134851,0,0,0.109705785,0,0,0.659382847,0.001,0.709594737,0.761838376,2.010805146
sample08,0,0.054306739,0.010094025,0.15845646,0.318659859,0,0.448931178,0,0,0.054502114,0.09547057,0,0.137389021,0,0,0.08820172,0.000659511,0.051032016,0.022288389,0,0,0.273688441,0,0.769989207,0.693303671,1.713680044
sample09,0.061501903,0,0.054191511,0.044604806,0.21360495,0,0.453256288,0,0,0.090625284,0.028820198,0,0.407445773,0.043001373,0,0,0.005365318,0.089403607,0.098302388,0,0,0.321518385,0,0.754435909,0.755535582,1.911641782
sample10,0.037218377,0,0.088339359,0.025979792,0.046431504,0,0.525191634,0,0,0.059549713,0,0.071097665,0.244700942,0.143720576,0,0.100785453,0,0.163864829,0.040749669,0,0,0.288826297,0,0.749244015,0.756493784,1.83645581
