"Gene"	"sample01"	"sample02"	"sample03"	"sample04"	"sample05"	"sample06"	"sample07"	"sample08"	"sample09"	"sample10"	"sample11"	"sample12"	"sample13"	"sample14"	"sample15"	"sample16"	"sample17"	"sample18"	"sample19"	"sample20"	"sample21"	"sample22"	"sample23"	"sample24"	"sample25"	"sample26"	"sample27"	"sample28"	"sample29"
"ADA"	118.206313753837	104.685086845178	125.742541141073	157.04749453887	91.2670319112439	74.141765505981	66.9222897367742	97.6247364681254	88.4359983152942	83.0219594743249	126.034912048742	149.758372354125	172.917549626904	185.08897319486	107.281299828811	80.7231665599439	96.410785532424	118.829940986081	98.6966027938442	151.276810316352	182.626186476677	170.830474414165	143.466033197179	113.472949694151	176.973672334661	55.060791083699	61.4628867158032	52.4251713903363	143.731312538752
"AHR"	242.382046352242	104.685086845178	125.742541141073	157.04749453887	215.663996406269	74.141765505981	66.9222897367742	165.376303577005	88.4359983152942	83.0219594743249	190.753839385771	149.758372354125	172.917549626904	185.08897319486	162.692091190392	80.7231665599439	96.410785532424	180.918585151308	98.6966027938442	154.831815358787	182.626186476677	170.830474414165	193.033547666805	154.720366907974	176.973672334661	237.434546031134	98.3263305887451	52.4251713903363	116.926967457318
"AKT3"	4638.59306117118	3489.10160200635	2629.84237669498	3509.77593170193	2332.55716807162	2382.17492570717	2546.72773593294	3504.67922683747	3240.64872226564	2117.10147757502	5340.8554329775	5479.43420687891	4766.21287914118	6249.80681338423	4472.3964679134	3406.51762882963	4070.89721371384	2455.79897538883	3137.36760961072	3521.79978256984	6014.79345160936	5039.07191903182	4256.9241370267	2926.07021728822	5323.54503749895	7728.50354262379	8026.06235956379	7134.06974796835	5992.93371556153
"ALOX15"	165.252426627863	104.685086845178	362.390003568573	502.630506271653	91.2670319112439	74.141765505981	66.9222897367742	278.279311302392	202.9606161336	168.036445976034	169.579974161583	149.758372354125	172.917549626904	281.983050662369	355.262024383108	80.7231665599439	168.670669288976	328.921276649471	429.823705167192	251.573335556094	453.278194835112	170.830474414165	182.847459309805	161.415270939929	304.748663760287	68.8259888546237	86.0385159644312	52.4251713903363	80.3836122529929
"ALOX5"	118.206313753837	104.685086845178	125.742541141073	192.697275799193	155.792823472493	74.141765505981	66.9222897367742	136.528193950673	88.4359983152942	163.221172326523	126.034912048742	149.758372354125	172.917549626904	185.08897319486	107.281299828811	80.7231665599439	96.410785532424	137.070336927444	98.6966027938442	151.276810316352	182.626186476677	170.830474414165	143.466033197179	113.472949694151	176.973672334661	94.6231384106759	61.4628867158032	52.4251713903363	68.2024938515511
"ANP32B"	617.036957795027	594.925348541145	610.857264863334	779.034096660063	519.218144543067	377.752295252973	324.338877209276	480.411328159645	321.951251866829	316.853308333761	621.667203680421	511.948995892577	918.797399942557	1133.76250530511	498.053434455256	386.381436739172	390.993940726746	635.859014216517	365.621565049796	856.226746390554	984.081205829574	170.830474414165	731.461570255819	618.824731157051	843.191061838495	381.959045614298	604.31758085507	474.605076596714	925.735575518271
"APOE"	118.206313753837	168.804702537849	125.742541141073	157.04749453887	91.2670319112439	74.141765505981	66.9222897367742	97.6247364681254	88.4359983152942	83.0219594743249	126.034912048742	149.758372354125	210.527116670756	185.08897319486	107.281299828811	80.7231665599439	96.410785532424	118.829940986081	98.6966027938442	151.276810316352	182.626186476677	170.830474414165	143.466033197179	113.472949694151	176.973672334661	43.0086852754808	49.1750720914892	263.672399507696	65.789808564309
"APP"	385.648098621892	474.3281284955	569.487968827921	578.01330365031	459.346971609291	493.413449442304	432.451836279035	438.432691478351	447.928331466965	604.897996729931	416.797454145191	398.132632903442	756.08198574364	620.41823814917	302.157780967847	173.474084937319	413.987913076229	411.151595811839	380.426055468873	735.356574947789	630.242969531012	170.830474414165	594.308042519315	625.576371663853	690.816729958351	512.718347426538	477.295869215359	361.602619664844	548.120905073574
"ARG2"	892.457668841466	908.457183642453	838.639878140388	854.416894038721	2160.83824753061	1803.98036740878	1573.67764316025	1367.72255791844	1063.88505973299	1315.3999259112	897.179521418972	331.789673950564	392.43637887826	253.84952673675	627.541963348631	457.337100145362	973.65252309195	1463.62838312555	523.733522725534	1015.89941967946	337.219253329184	170.830474414165	406.36753903101	1587.48656622117	518.090425759721	1108.00772745553	200.748599385595	384.197868534079	345.926108806163
"ARHGDIB"	5189.49358642093	3770.44277290277	5456.47183027574	6491.87228175326	5452.01868528198	3469.20442067311	4114.38237301688	3906.35620503557	3023.67100039907	3379.69943726055	3376.91641597798	4095.36732958209	6756.8397104461	7344.05282291224	2921.80620083767	1482.48095387337	2928.62222672568	4653.91522374935	2430.84797851099	6230.86490171508	6750.1377914577	6589.52930481478	4703.89256345252	4331.9433275239	5902.60289337796	2849.15409030433	3785.6470752465	2953.05747924625	5522.7543144624
"ATF2"	440.732240831179	313.531835101307	352.016243924435	393.718068808946	259.609072271533	300.681930009506	180.188265116265	317.67089246728	230.994827599549	182.440755944829	332.038975792411	350.734108053361	401.946844107739	473.827771378841	262.302778081443	181.384955260194	360.335310927435	334.387453934831	172.916448094815	406.329512509722	398.033773425918	170.830474414165	391.160139512109	248.90291515412	548.618384237451	321.738824619389	340.05812564962	331.458146115401	384.911572289038
"ATG10"	143.206949112773	104.685086845178	125.742541141073	157.04749453887	155.792823472493	74.141765505981	66.9222897367742	170.648039346283	88.4359983152942	115.234479750363	148.34309148137	149.758372354125	210.527116670756	203.042603594761	107.281299828811	80.7231665599439	96.410785532424	148.002691498163	98.6966027938442	151.276810316352	182.626186476677	170.830474414165	143.466033197179	113.472949694151	176.973672334661	135.91873172345	104.470237900902	158.19295467034	177.832559464527
"ATG12"	347.053737181264	530.596362674783	393.448411230418	485.826424355993	171.764554056961	269.838955559018	246.274026231329	202.132016857254	251.954159200273	254.420794809069	247.280497439632	369.753421342335	468.952394588165	502.053839791057	239.076376668506	173.474084937319	268.311216136736	257.623312057823	232.233106373915	406.329512509722	475.467276492029	170.830474414165	518.127578891613	464.161100723923	396.244052357307	270.124371484194	419.952734301894	497.200325465949	545.708219786332
