"Gene","lfc","padj","Significant","Regulation","Timepoint"
"DEFA1",1.37949219479644,0.985173919394399,FALSE,"Neither","Baseline"
"MAPKAPK5",0.666917708481137,0.985173919394399,FALSE,"Neither","Baseline"
"SMAD3",0.600431906882131,0.985173919394399,FALSE,"Neither","Baseline"
"CD36",1.01723385988417,0.985173919394399,FALSE,"Neither","Baseline"
"CXCL3",0.942763606797985,0.985173919394399,FALSE,"Neither","Baseline"
"CTSC",0.556504937168448,0.985173919394399,FALSE,"Neither","Baseline"
"ATG7",0.540937882334062,0.985173919394399,FALSE,"Neither","Baseline"
"DDIT3",0.604493818750288,0.985173919394399,FALSE,"Neither","Baseline"
"DAXX",0.551865911229395,0.985173919394399,FALSE,"Neither","Baseline"
"ALAS1",0.474947292083591,0.985173919394399,FALSE,"Neither","Baseline"
"TBK1",0.555511213238253,0.985173919394399,FALSE,"Neither","Baseline"
"PPBP",0.806422874398164,0.985173919394399,FALSE,"Neither","Baseline"
"SH2D1A",0.546543095354419,0.985173919394399,FALSE,"Neither","Baseline"
"CD24",0.750231887002397,0.985173919394399,FALSE,"Neither","Baseline"
"CCR2",0.517985509331452,0.985173919394399,FALSE,"Neither","Baseline"
"IDO2",-1.19273834529994,0.985173919394399,FALSE,"Neither","Baseline"
"CD27",0.411611851898409,0.985173919394399,FALSE,"Neither","Baseline"
"FCER1A",0.520715662529367,0.985173919394399,FALSE,"Neither","Baseline"
"DPP4",0.633972214946776,0.985173919394399,FALSE,"Neither","Baseline"
"CCR7",-0.944360114775934,0.985173919394399,FALSE,"Neither","Baseline"
"ICAM1",0.543718119407281,0.985173919394399,FALSE,"Neither","Baseline"
"CD9",0.823012572742812,0.985173919394399,FALSE,"Neither","Baseline"
"MAPKAPK2",0.503973004950301,0.985173919394399,FALSE,"Neither","Baseline"
"ERCC3",0.402555238120641,0.985173919394399,FALSE,"Neither","Baseline"
"NFATC2",0.442641650510299,0.985173919394399,FALSE,"Neither","Baseline"
"IL15",0.453342030442366,0.985173919394399,FALSE,"Neither","Baseline"
"FCGR3",-1.04927345960012,0.985173919394399,FALSE,"Neither","Baseline"
"CEBPB",-1.44218266979319,0.985173919394399,FALSE,"Neither","Baseline"
"GNLY",-0.682018740842831,0.985173919394399,FALSE,"Neither","Baseline"
"IRF5",0.390034875669877,0.985173919394399,FALSE,"Neither","Baseline"
"RIPK2",0.352222727440707,0.985173919394399,FALSE,"Neither","Baseline"
"MKNK1",0.376212240459877,0.985173919394399,FALSE,"Neither","Baseline"
"BCL2L1",-0.539263191308267,0.985173919394399,FALSE,"Neither","Baseline"
"CD244",0.501344672403963,0.985173919394399,FALSE,"Neither","Baseline"
"TCF4",0.435126997922568,0.985173919394399,FALSE,"Neither","Baseline"
"PSMB5",0.337037172587235,0.985173919394399,FALSE,"Neither","Baseline"
"KLRC1",0.391053567946773,0.985173919394399,FALSE,"Neither","Baseline"
"HLA-DQA1",1.25385225276563,0.985173919394399,FALSE,"Neither","Baseline"
"CD1D",0.382148828119564,0.985173919394399,FALSE,"Neither","Baseline"
"PTPN22",0.625572749074009,0.985173919394399,FALSE,"Neither","Baseline"
"IL21",-0.741989971653328,0.985173919394399,FALSE,"Neither","Baseline"
"IL1B",-0.703728071524283,0.985173919394399,FALSE,"Neither","Baseline"
"CD8A",0.456243486202357,0.985173919394399,FALSE,"Neither","Baseline"
"THBS1",0.834974611348066,0.985173919394399,FALSE,"Neither","Baseline"
"GZMK",0.783994543845242,0.985173919394399,FALSE,"Neither","Baseline"
"KLRC3",-0.856246530925899,0.985173919394399,FALSE,"Neither","Baseline"
"OAS1",0.573874378960685,0.985173919394399,FALSE,"Neither","Baseline"
"PLAUR",0.379688289203385,0.985173919394399,FALSE,"Neither","Baseline"
"KLRG1",0.513509528380989,0.985173919394399,FALSE,"Neither","Baseline"
"OAS2",0.859753315525975,0.985173919394399,FALSE,"Neither","Baseline"
"IRF7",-1.00681074483472,0.985173919394399,FALSE,"Neither","Baseline"
"FASLG",0.333471681890959,0.985173919394399,FALSE,"Neither","Baseline"
"LILRB3",-0.457819576873891,0.985173919394399,FALSE,"Neither","Baseline"
"HPRT1",0.437648317860479,0.985173919394399,FALSE,"Neither","Baseline"
"HLA-C",-0.653067139737306,0.985173919394399,FALSE,"Neither","Baseline"
"IL21R",0.444529160700355,0.985173919394399,FALSE,"Neither","Baseline"
"SELPLG",-1.03180776759464,0.985173919394399,FALSE,"Neither","Baseline"
"ITGA4",0.556184478837316,0.985173919394399,FALSE,"Neither","Baseline"
"TNFSF12",0.35671050585714,0.985173919394399,FALSE,"Neither","Baseline"
"CD55",-0.494086565944302,0.985173919394399,FALSE,"Neither","Baseline"
"AKT3",0.499777215624379,0.985173919394399,FALSE,"Neither","Baseline"
"STAT2",-0.841714799060044,0.985173919394399,FALSE,"Neither","Baseline"
"NCR1",0.305903931972296,0.985173919394399,FALSE,"Neither","Baseline"
"CD46",0.792439697626342,0.985173919394399,FALSE,"Neither","Baseline"
"SLAMF6",0.374593880450703,0.985173919394399,FALSE,"Neither","Baseline"
"TLR5",-0.673933736607674,0.985173919394399,FALSE,"Neither","Baseline"
"CXCR2",-0.854607497146674,0.985173919394399,FALSE,"Neither","Baseline"
"SLAMF1",0.296704762419347,0.985173919394399,FALSE,"Neither","Baseline"
"IL6R",-0.864646072518402,0.985173919394399,FALSE,"Neither","Baseline"
"LGALS3",0.56682884623007,0.985173919394399,FALSE,"Neither","Baseline"
"TBX21",0.457689771852939,0.985173919394399,FALSE,"Neither","Baseline"
"TLR1",-0.782764907607167,0.985173919394399,FALSE,"Neither","Baseline"
"SLC2A1",0.412269305322018,0.985173919394399,FALSE,"Neither","Baseline"
"PTPN6",-0.830394363764189,0.985173919394399,FALSE,"Neither","Baseline"
"HLA-DPA1",0.741092295119179,0.985173919394399,FALSE,"Neither","Baseline"
"ITGA5",-0.790679404128248,0.985173919394399,FALSE,"Neither","Baseline"
"CD44",-0.769921212681453,0.985173919394399,FALSE,"Neither","Baseline"
"ATG12",0.390987004418582,0.985173919394399,FALSE,"Neither","Baseline"
"IL1RAP",-0.734388421293335,0.985173919394399,FALSE,"Neither","Baseline"
"CD274",-0.761643655913673,0.985173919394399,FALSE,"Neither","Baseline"
"GBP1",-0.806099991198993,0.985173919394399,FALSE,"Neither","Baseline"
"CD3E",0.504601545996113,0.985173919394399,FALSE,"Neither","Baseline"
"EIF2AK2",0.399193778419543,0.985173919394399,FALSE,"Neither","Baseline"
"BCL2",0.391290873208486,0.985173919394399,FALSE,"Neither","Baseline"
"SLAMF7",0.499320387680834,0.985173919394399,FALSE,"Neither","Baseline"
"MMP9",-0.767068358869633,0.985173919394399,FALSE,"Neither","Baseline"
"CR1",-0.33759284809958,0.985173919394399,FALSE,"Neither","Baseline"
"S100A8",-0.697490454403747,0.985173919394399,FALSE,"Neither","Baseline"
"HLA-DRA",0.378745717575057,0.985173919394399,FALSE,"Neither","Baseline"
"TFRC",0.337068260829192,0.985173919394399,FALSE,"Neither","Baseline"
"ARG2",-0.72576042613005,0.985173919394399,FALSE,"Neither","Baseline"
"IKZF1",0.608003419065536,0.985173919394399,FALSE,"Neither","Baseline"
"IFI16",0.435196559232478,0.985173919394399,FALSE,"Neither","Baseline"
"LITAF",-0.722808770051149,0.985173919394399,FALSE,"Neither","Baseline"
"ROCK2",0.319947233621034,0.985173919394399,FALSE,"Neither","Baseline"
"NFIL3",-0.429254320309426,0.985173919394399,FALSE,"Neither","Baseline"
"BCL6",-0.688493269506242,0.985173919394399,FALSE,"Neither","Baseline"
"GZMA",-0.6838366174191,0.985173919394399,FALSE,"Neither","Baseline"
"CYBB",0.516458982521364,0.985173919394399,FALSE,"Neither","Baseline"
"F13A1",0.498920203883609,0.985173919394399,FALSE,"Neither","Baseline"
"GPR183",0.434758388990124,0.985173919394399,FALSE,"Neither","Baseline"
"CCRL2",-0.656658029114064,0.985173919394399,FALSE,"Neither","Baseline"
