"Gene","lfc","padj","Significant","Regulation","Timepoint"
"OASL",3.07206114250957,5.07829700300082e-08,TRUE,"Up","4 DPI"
"GBP1",4.10625394833341,5.07829700300082e-08,TRUE,"Up","4 DPI"
"OAS3",3.44123180399803,1.37966000056514e-07,TRUE,"Up","4 DPI"
"OAS1",2.61217671208084,2.78111817274808e-07,TRUE,"Up","4 DPI"
"OAS2",3.00330344942018,9.70864020853013e-07,TRUE,"Up","4 DPI"
"CXCL10",4.58270762052856,1.05029589607352e-06,TRUE,"Up","4 DPI"
"ISG20",1.923124126479,4.638769411223e-06,TRUE,"Up","4 DPI"
"STAT2",2.68255181381827,4.67977421197255e-06,TRUE,"Up","4 DPI"
"DDX58",2.83941049882818,6.50100638480844e-06,TRUE,"Up","4 DPI"
"MX1",3.86282000646798,6.50100638480844e-06,TRUE,"Up","4 DPI"
"STAT1",1.60876410464119,8.47347125426456e-06,TRUE,"Up","4 DPI"
"IFIT1",3.6279066419884,9.67888640855446e-06,TRUE,"Up","4 DPI"
"IFIH1",2.51829899657458,1.46298447291488e-05,TRUE,"Up","4 DPI"
"EIF2AK2",2.12544697588821,1.46298447291488e-05,TRUE,"Up","4 DPI"
"MX2",2.34413836204434,2.61109700022229e-05,TRUE,"Up","4 DPI"
"TNFSF13B",2.43307674278729,2.87712355191336e-05,TRUE,"Up","4 DPI"
"BST2",1.60539823344169,3.76721947603791e-05,TRUE,"Up","4 DPI"
"IFIT2",3.38097670734179,8.75188863117932e-05,TRUE,"Up","4 DPI"
"IFI44",3.47712700461124,0.000223975295394364,TRUE,"Up","4 DPI"
"PML",1.43699374168742,0.000351971026121845,TRUE,"Up","4 DPI"
"IFIT3",2.84692442562242,0.00107517354743045,TRUE,"Up","4 DPI"
"CD274",2.07569707930539,0.00250405856434089,TRUE,"Up","4 DPI"
"PSMB8",0.948422634432063,0.00348199946731509,FALSE,"None","4 DPI"
"IFI16",1.00734019655675,0.00509441988024471,TRUE,"Up","4 DPI"
"FAS",1.32209544734177,0.00610993730969149,TRUE,"Up","4 DPI"
"IFI35",1.06988270081014,0.00958610476953875,TRUE,"Up","4 DPI"
"FCGR3",1.62573680024724,0.0142715425342332,TRUE,"Up","4 DPI"
"CASP1",1.47299558489415,0.0156433994840556,TRUE,"Up","4 DPI"
"IL1R1",-1.42564836749801,0.0164139968795442,TRUE,"Down","4 DPI"
"CLEC4E",-1.38837424978835,0.0171347504790288,TRUE,"Down","4 DPI"
"PTGS2",-1.91731163872742,0.023253596883072,TRUE,"Down","4 DPI"
"CEACAM8",-1.6509298217116,0.0238983711034318,TRUE,"Down","4 DPI"
"CD38",0.940056489171154,0.0238983711034318,FALSE,"None","4 DPI"
"IRF5",0.859281177281959,0.0238983711034318,FALSE,"None","4 DPI"
"IRF7",1.26092261580133,0.0329011456819463,TRUE,"Up","4 DPI"
"JAK2",1.14054214980415,0.0364865153032298,TRUE,"Up","4 DPI"
"LGALS3",-1.0470668756566,0.0404778769453332,TRUE,"Down","4 DPI"
"HSH2D",0.808021293978225,0.0446541848522997,FALSE,"None","4 DPI"
"RARRES3",0.994194623590802,0.0614981938640008,FALSE,"None","4 DPI"
"FCAR",-1.30422875770697,0.0652618759533149,FALSE,"None","4 DPI"
"TAP1",0.808725739086384,0.0633610789211791,FALSE,"None","4 DPI"
"CASP10",0.696793211631006,0.0689895469692601,FALSE,"None","4 DPI"
"CX3CR1",1.18115524726451,0.0853957991556739,FALSE,"None","4 DPI"
"FOS",-1.689241941906,0.0838621116776304,FALSE,"None","4 DPI"
"CLEC4A",-1.1310283244193,0.0938996054311111,FALSE,"None","4 DPI"
"IDO1",1.21298248439336,0.0935319351182799,FALSE,"None","4 DPI"
"PSMB10",0.715322187242839,0.0938996054311111,FALSE,"None","4 DPI"
"SOCS1",1.24985868271048,0.105125212135055,FALSE,"None","4 DPI"
"IL1R2",-1.69205662767893,0.105125212135055,FALSE,"None","4 DPI"
"IFITM1",0.74755497348249,0.0983026138128637,FALSE,"None","4 DPI"
"CASP3",-0.741209250070535,0.105125212135055,FALSE,"None","4 DPI"
"CYBB",0.920284716990572,0.105125212135055,FALSE,"None","4 DPI"
"MYD88",0.789034603212189,0.109072669819177,FALSE,"None","4 DPI"
"TAP2",0.708833834272898,0.115168998464214,FALSE,"None","4 DPI"
"ATG12",0.663641764228908,0.126609245901177,FALSE,"None","4 DPI"
"CSF1R",1.04925967655132,0.154876724753549,FALSE,"None","4 DPI"
"LTF",-1.2033840806683,0.14893516263928,FALSE,"None","4 DPI"
"ATG5",0.663518106455788,0.155254758553127,FALSE,"None","4 DPI"
"BCL6",-0.941069532015296,0.172182924043129,FALSE,"None","4 DPI"
"SLAMF7",0.784019099172344,0.187886671872008,FALSE,"None","4 DPI"
"NCF4",-0.867410572085618,0.199242300877208,FALSE,"None","4 DPI"
"AHR",-0.712590067583568,0.199242300877208,FALSE,"None","4 DPI"
"FCER1A",1.25382273100776,0.199242300877208,FALSE,"None","4 DPI"
"CD14",-0.985569102392225,0.205335623739283,FALSE,"None","4 DPI"
"CD97",0.821939392626335,0.229311240488961,FALSE,"None","4 DPI"
"ITGAL",0.80223290143582,0.231808565948016,FALSE,"None","4 DPI"
"HLA-DMB",0.951294329030653,0.229311240488961,FALSE,"None","4 DPI"
"CD24",-0.874290324504178,0.229987237655507,FALSE,"None","4 DPI"
"CD6",0.708323903154476,0.256280167241798,FALSE,"None","4 DPI"
"B2M",0.455149804507817,0.199242300877208,FALSE,"None","4 DPI"
"TNFAIP3",0.592300255973479,0.260856170898167,FALSE,"None","4 DPI"
"RIPK1",0.595933316684602,0.256280167241798,FALSE,"None","4 DPI"
"PSMB9",0.811665638246366,0.275265341530569,FALSE,"None","4 DPI"
