Probe Name,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29
ABCB1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ABL1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ADA,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.32,25.81,20,48.85
AGER,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.17,20,20,20
AHR,41.01,20,20,20,47.26,20,20,33.88,20,20,30.27,20,20,20,30.33,20,20,30.45,20,20.47,20,20,26.91,27.27,20,117.81,41.29,20,39.74
AICDA,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AIRE,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AKT3,784.83,666.59,418.29,446.97,511.15,642.6,761.1,717.99,732.88,510.01,847.52,731.77,551.27,675.33,833.77,844,844.49,413.33,635.76,465.61,658.7,589.95,593.44,515.73,601.62,3834.72,3370.37,2721.62,2036.82
ALOX12,20,20,20,20,20,20,37.7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.65,20,20
ALOX15,27.96,20,57.64,64.01,20,20,20,57.01,45.9,40.48,26.91,20,20,30.47,66.23,20,34.99,55.36,87.1,33.26,49.64,20,25.49,28.45,34.44,34.15,36.13,20,27.32
ALOX5,20,20,20,24.54,34.14,20,20,27.97,20,39.32,20,20,20,20,20,20,20,23.07,20,20,20,20,20,20,20,46.95,25.81,20,23.18
ANP32B,104.4,113.66,97.16,99.21,113.78,101.9,96.93,98.42,72.81,76.33,98.65,68.37,106.27,122.51,92.85,95.73,81.11,107.02,74.09,113.2,107.77,20,101.97,109.07,95.29,189.52,253.77,181.06,314.63
APOE,20,32.25,20,20,20,20,20,20,20,20,20,20,24.35,20,20,20,20,20,20,20,20,20,20,20,20,21.34,20.65,100.59,22.36
APP,65.25,90.62,90.58,73.61,100.66,133.1,129.24,89.82,101.3,145.72,66.14,53.17,87.45,67.04,56.33,42.98,85.88,69.2,77.09,97.22,69.02,20,82.85,110.26,78.07,254.4,200.43,137.95,186.29
AREG,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ARG1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ARG2,151,173.56,133.39,108.81,473.52,486.63,470.3,280.2,240.6,316.88,142.37,44.31,45.39,27.43,116.99,113.31,201.98,246.34,106.13,134.31,36.93,20,56.65,279.8,58.55,549.77,84.3,146.57,117.57
ARHGDIB,878.04,720.34,867.88,826.74,1194.74,935.83,1229.6,800.28,683.81,814.17,535.87,546.93,781.51,793.57,544.7,367.3,607.53,783.29,492.59,823.77,739.23,771.47,655.75,763.52,667.06,1413.69,1589.7,1126.58,1877.02
ATF2,74.57,59.9,55.99,50.14,56.89,81.11,53.85,65.08,52.24,43.95,52.69,46.84,46.49,51.2,48.9,44.94,74.75,56.28,35.04,53.72,43.59,20,54.53,43.87,62,159.64,142.8,126.45,130.82
ATG10,24.23,20,20,20,34.14,20,20,34.96,20,27.76,23.54,20,24.35,21.94,20,20,20,24.91,20,20,20,20,20,20,20,67.44,43.87,60.35,60.44
ATG12,58.72,101.37,62.58,61.87,37.64,72.79,73.6,41.41,56.98,61.29,39.24,49.38,54.24,54.25,44.57,42.98,55.66,43.36,47.06,53.72,52.07,20,72.23,81.81,44.78,134.03,176.35,189.68,185.47
ATG16L1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.36
ATG5,56.86,84.48,74.11,61.87,54.27,74.87,80.78,53.78,68.06,47.42,56.05,72.16,48.71,41.45,59.42,52.75,65.21,32.29,59.07,53.72,38.75,20,59.49,68.76,51.67,104.15,112.69,129.33,115.92
ATG7,24.23,20,20,20,21.01,60.31,77.19,21.51,36.41,31.23,20,20,20,20,20,20,36.58,20,20.02,23.02,20,20,25.49,48.61,20,105.86,73.12,20,45.54
ATM,96.01,61.44,46.11,53.34,119.04,58.23,46.67,97.35,55.4,28.91,82.96,63.3,84.13,82.28,72.42,41.03,50.89,100.56,50.06,58.84,110.19,20,64.44,41.5,67.74,121.22,152.26,106.34,133.3
B2M,12253.42,24155.26,18325.91,12145.02,17970.93,33708.55,52264.5,10797.28,24433.45,26651.41,7757.71,11050.01,12349.24,7776,11717.9,18378.46,23488.35,10749.28,17744.2,16007.87,8217.46,7934.05,13539.25,25472.41,10301.02,37089.74,26545.75,35662.66,28822.61
B3GAT1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
BAD,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.15
BATF,20,20,20,20,28.01,41.59,80.78,20,20,41.63,20,20,20,20,20,20,57.25,20,20,20.47,20,20,20,29.64,20,58.05,62.8,83.34,55.47
BATF3,20,20,20,20,20,43.67,46.67,20,34.82,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
BAX,109.06,122.87,125.16,114.14,236.32,216.28,224.38,190.93,148.79,253.27,95.29,67.1,90.77,78.63,86.66,74.24,119.28,121.78,87.1,141.99,95.05,20,129.59,182.58,99.89,232.2,192.69,209.8,263.3
BCAP31,42.88,50.69,49.4,44.8,87.53,93.58,68.21,69.38,64.9,67.08,40.36,34.18,39.85,43.27,34.04,20,50.89,82.11,47.06,39.01,39.96,20,36.82,47.42,48.22,116.95,134.2,120.71,129.99
BCL10,107.19,105.98,62.58,61.87,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,64.03,40.43,60.35,61.27
BCL2,44.74,49.15,55.99,29.87,33.26,54.07,48.47,40.87,34.82,37.01,41.48,43.05,66.42,43.88,48.28,44.94,47.71,59.97,45.05,53.72,53.88,20,51.7,42.68,42.48,100.73,146.24,117.83,85.28
BCL2L1,1373.92,652.76,734.49,1104.09,2803.47,671.72,556.46,4415.51,761.37,448.72,1903.55,1211.6,606.61,1262.27,2776.74,2475.34,957.41,3401.65,1694.02,335.14,1478.45,1308.48,759.14,418.51,1055.13,3701.55,4566.95,2212.93,3292.85
BCL2L11,38.22,39.93,39.52,50.14,65.64,66.55,20,43.03,45.9,61.29,36.99,25.32,75.27,50.59,29.71,20,38.17,37.83,30.04,60.76,39.96,20,44.61,81.81,39.04,113.54,91.18,126.45,101.84
BCL3,44.74,69.12,75.75,34.14,174.18,172.61,122.06,86.59,58.57,97.15,65.02,20,37.64,20,61.9,60.56,58.84,75.65,43.05,26.22,20,20,40.36,69.95,40.18,327.81,62.8,106.34,90.25
BCL6,86.69,62.97,74.11,52.27,364.11,195.48,262.08,202.22,144.04,102.93,78.47,30.38,29.89,20,76.13,58.61,63.62,112.56,56.07,63.32,20,20,41.78,126.86,35.59,467.82,71.4,114.96,87.77
BID,84.82,116.73,98.81,78.94,152.3,131.02,174.12,86.05,110.8,168.85,63.9,54.44,76.38,58.51,47.66,48.84,101.78,84.88,81.1,94.66,58.12,20,84.27,91.29,66.59,180.13,144.52,189.68,152.35
BIRC2,88.55,53.76,88.93,62.94,110.28,85.26,152.58,81.21,102.89,60.14,56.05,59.5,56.45,46.93,63.75,44.94,60.43,84.88,78.09,58.2,42.38,20,50.99,58.09,57.41,148.54,137.64,129.33,131.65
BLK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.2,30.11,20,20
BLNK,20,20,20,20,27.13,20,20,20,20,20,20,20,20,31.08,20,20,20,20,20.02,21.11,23.61,20,20,20,24.11,35.85,45.59,66.1,41.4
BST2,44.74,187.38,146.57,46.94,70.9,395.13,281.82,29.58,191.53,209.33,41.48,94.95,91.88,52.42,43.33,152.39,205.16,43.36,175.21,105.53,35.72,20,114.01,137.53,51.67,223.66,304.52,261.53,140.76
BTK,20,20,20,26.67,20,20,20,20,20,26.6,20,20,23.25,21.94,20,20,42.94,22.14,20.02,20.47,20,20,20,39.12,29.85,64.88,59.36,20,53.82
BTLA,20,20,20,20,28.01,20,20,22.59,20,20,20,20,20,20,20,20,20,42.44,20,20,20,20,20,20,22.96,20,21.51,20,20.7
C10orf54,179.9,271.86,217.38,154.68,315.97,428.4,529.54,210.29,303.91,383.96,169.28,110.15,130.62,81.67,151.03,236.4,311.71,191.9,217.26,271.18,83.55,204.21,192.62,305.88,129.74,736.72,349.25,324.75,366.79
C14orf166,160.32,187.38,126.81,158.95,120.79,155.97,145.4,145.75,199.44,121.43,132.28,151.92,123.98,135.31,98.42,80.1,136.77,149.46,118.14,163.73,156.81,196.65,144.46,165.98,141.22,224.52,301.08,250.03,375.07
C1QA,20,53.76,20,20,20,20,20,20,20,76.33,20,20,20,20,20,20,20,20,20,20,20,20,25.49,20,20,20,20,20,20
C1QB,25.17,78.33,52.7,20,20,76.95,44.88,20,69.65,172.32,20,36.72,77.49,20,20,42.98,50.89,20,29.03,30.7,20,20,107.64,93.66,20,20,24.95,60.35,21.53
C1QBP,96.94,75.26,88.93,150.41,84.03,68.63,107.7,40.34,55.4,97.15,59.42,63.3,80.81,110.32,55.09,42.98,89.06,57.2,64.08,96.58,131.98,20,72.94,120.93,101.04,78.54,119.57,100.59,282.34
C1R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C1S,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C2,20,20,20,20,20,20,20,20,20,37.01,20,20,26.57,20,20,20,49.3,20,20,20,20,20,20,29.64,20,20,33.55,20,20
C3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C3AR1,20,20,32.94,32,20.13,20,20,20,20,23.13,20,20,20,20,20,20,47.71,20,20,20,20,20,31.16,41.5,20,29.88,49.89,20,46.37
C4A,20,36.86,32.94,20,20,20,52.06,20,31.66,27.76,20,20,25.46,20,20,20,36.58,20,25.03,21.75,20,20,20,35.57,20,43.54,24.09,20,34.77
C4B,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.36
C4BPA,137.95,99.83,62.58,62.94,130.41,97.74,89.75,20,20,20,108.74,94.95,50.92,46.93,111.42,107.45,52.48,145.77,170.2,63.32,71.44,20,20.54,20,20,168.17,163.44,166.69,96.87
C5,788.56,339.44,620.85,502.44,645.95,282.83,403.88,1001.96,299.17,263.68,1613.2,1010.3,578.94,1144.64,1090.64,818.6,507.33,561.87,855.02,460.49,770.71,363.05,262.73,183.77,326.07,2596.89,2269.28,1439.84,1867.91
C5aR1,20,49.15,20,22.4,44.64,81.11,95.14,44.64,101.3,173.47,40.36,20,32.1,20,24.76,48.84,95.42,45.21,26.03,76.11,20,20,41.07,82.99,20,294.52,80.86,74.72,84.45
C6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C8A,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C8B,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C8G,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.05,22.37,109.21,20
CAMP,54.06,119.8,88.93,66.14,320.35,355.61,411.07,136.07,156.71,270.62,60.54,20,24.35,20.11,51.99,56.66,143.13,214.97,74.09,109.37,30.88,20,38.95,187.32,79.22,402.94,35.27,80.47,129.99
CARD9,20,20,20,20,21.01,20,20,20,33.24,24.29,20,20,23.25,20,20,20,20,20,20,31.98,20,20,35.41,40.31,20,35.85,31.83,20,20
CASP1,153.8,373.23,340.89,84.27,249.45,813.13,1130.88,148.44,626.82,707.77,108.74,182.31,213.64,56.07,134.32,447.4,528.01,122.71,423.51,213.62,65.39,20,342.04,571.45,111.37,627.45,506.67,574.79,302.21
CASP10,54.99,56.83,69.17,66.14,45.51,95.66,82.57,41.95,52.24,75.17,28.03,40.51,60.88,46.93,37.76,62.52,79.52,37.83,88.11,70.99,53.28,20,55.24,71.14,42.48,107.56,147.1,140.82,141.58
CASP2,40.08,30.72,20,24.54,47.26,20,46.67,42.49,20,20,26.91,20,34.32,35.35,29.09,20,20,38.75,23.03,37.73,42.99,20,36.12,30.83,28.7,46.95,92.9,103.46,94.39
CASP3,244.21,253.43,232.2,238.95,371.99,420.08,655.19,334.52,273.84,407.09,221.97,73.43,100.73,131.04,203.64,138.71,246.51,310.92,231.28,272.46,147.72,189.09,151.55,259.64,155,1062.83,452.48,428.22,511.69
